document	topic	gamma
160_1826	3	0.03333333333333333
161_1826	3	0.011904761904761904
162_1815	3	0.05319148936170213
17_1821	3	0.028700906344410877
18_1821	3	0.03365384615384615
19_1822	3	0.031914893617021274
2_1821	3	0.003401360544217687
20_1822	3	0.02122641509433962
200_1816	3	0.3782894736842105
201_1816	3	0.02482876712328767
202_1816	3	0.114
205_1815	3	0.0043859649122807015
206_1816	3	0.027777777777777776
209_1818	3	0.0026041666666666665
21_1822	3	0.005
210_1818	3	0.06296296296296296
211_1818	3	0.013647642679900745
212_1820	3	0.10625
214_1824	3	0.006818181818181818
215_1824	3	0.005555555555555556
216_1815	3	0.003676470588235294
217_1829	3	0.004166666666666667
218_1829	3	0.052083333333333336
219_1829	3	0.0056179775280898875
22_1823	3	0.1171875
220_1829	3	0.06862745098039216
221_1829	3	0.007075471698113208
222_1829	3	0.011627906976744186
224_1829	3	0.11290322580645161
226_1829	3	0.02054794520547945
227_1825	3	0.06723716381418093
228_1829	3	0.008620689655172414
229_1830	3	0.03398058252427184
23_1823	3	0.02556818181818182
230_1830	3	0.026881720430107527
232_1831	3	0.011160714285714286
236_1830	3	0.05952380952380952
239_1824	3	0.0022123893805309734
24_1823	3	0.5777027027027027
240_1825	3	0.06934306569343066
242_1825	3	0.013157894736842105
243_1825	3	0.1598984771573604
245_1821	3	0.015486725663716814
248_1823	3	0.0215311004784689
249_1824	3	0.0022624434389140274
25_1823	3	0.003355704697986577
250_1818	3	0.014285714285714285
251_1818	3	0.007537688442211055
252_1818	3	0.013392857142857142
253_1818	3	0.022286821705426358
254_1818	3	0.022321428571428572
255_1819	3	0.00980392156862745
256_1819	3	0.5754716981132075
257_1819	3	0.0024154589371980675
258_1819	3	0.0016181229773462784
259_1819	3	0.08529411764705883
26_1823	3	0.008333333333333333
260_1819	3	0.017326732673267328
261_1820	3	0.033156498673740056
